model,kind,M,N,K,ms,gflops,achieved_bw_GBs,arith_intensity
llama-1b,qkv,1,3072,2048,0.0379,332.02,332.29,1.00
llama-1b,qkv,2,3072,2048,0.0237,1061.14,531.43,2.00
llama-1b,qkv,4,3072,2048,0.0238,2110.43,529.33,3.99
llama-1b,qkv,8,3072,2048,0.0246,4090.89,514.69,7.95
llama-1b,qkv,16,3072,2048,0.0257,7832.99,495.94,15.79
llama-1b,qkv,32,3072,2048,0.0288,13998.43,448.84,31.19
llama-1b,attn_out,1,2048,2048,0.0179,469.19,469.64,1.00
llama-1b,attn_out,2,2048,2048,0.0191,877.09,439.40,2.00
llama-1b,attn_out,4,2048,2048,0.0195,1721.91,432.16,3.98
llama-1b,attn_out,8,2048,2048,0.0192,3500.85,441.03,7.94
llama-1b,attn_out,16,2048,2048,0.0203,6609.78,419.57,15.75
llama-1b,attn_out,32,2048,2048,0.0224,11997.44,386.64,31.03
llama-1b,ffn_up,1,8192,2048,0.0489,685.81,686.23,1.00
llama-1b,ffn_up,2,8192,2048,0.0574,1168.62,585.02,2.00
llama-1b,ffn_up,4,8192,2048,0.0576,2331.83,584.38,3.99
llama-1b,ffn_up,8,8192,2048,0.0575,4666.14,586.12,7.96
llama-1b,ffn_up,16,8192,2048,0.0591,9086.45,573.45,15.85
llama-1b,ffn_up,32,8192,2048,0.0538,19961.47,635.98,31.39
llama-1b,ffn_down,1,2048,8192,0.0478,701.82,702.25,1.00
llama-1b,ffn_down,2,2048,8192,0.0481,1394.68,698.19,2.00
llama-1b,ffn_down,4,2048,8192,0.0484,2772.25,694.75,3.99
llama-1b,ffn_down,8,2048,8192,0.0491,5465.89,686.57,7.96
llama-1b,ffn_down,16,2048,8192,0.0505,10632.49,671.02,15.85
llama-1b,ffn_down,32,2048,8192,0.0552,19468.55,620.27,31.39
llama-8b,qkv,1,6144,4096,0.0677,743.94,744.24,1.00
llama-8b,qkv,2,6144,4096,0.0733,1372.58,686.85,2.00
llama-8b,qkv,4,6144,4096,0.0734,2742.86,686.83,3.99
llama-8b,qkv,8,6144,4096,0.0736,5471.97,686.22,7.97
llama-8b,qkv,16,6144,4096,0.0742,10854.82,682.84,15.90
llama-8b,qkv,32,6144,4096,0.0736,21897.03,693.19,31.59
llama-8b,attn_out,1,4096,4096,0.0684,490.54,490.78,1.00
llama-8b,attn_out,2,4096,4096,0.0493,1361.36,681.35,2.00
llama-8b,attn_out,4,4096,4096,0.0498,2695.29,675.14,3.99
llama-8b,attn_out,8,4096,4096,0.0511,5252.33,659.11,7.97
llama-8b,attn_out,16,4096,4096,0.0528,10170.48,640.62,15.88
llama-8b,attn_out,32,4096,4096,0.0568,18889.86,599.53,31.51
llama-8b,ffn_up,1,14336,4096,0.1468,800.17,800.42,1.00
llama-8b,ffn_up,2,14336,4096,0.1479,1587.93,794.46,2.00
llama-8b,ffn_up,4,14336,4096,0.1485,3163.81,791.94,3.99
llama-8b,ffn_up,8,14336,4096,0.1493,6294.62,788.80,7.98
llama-8b,ffn_up,16,14336,4096,0.1517,12388.66,778.18,15.92
llama-8b,ffn_up,32,14336,4096,0.1602,23461.07,740.52,31.68
llama-8b,ffn_down,1,4096,14336,0.1641,715.64,715.86,1.00
llama-8b,ffn_down,2,4096,14336,0.1516,1549.52,775.25,2.00
llama-8b,ffn_down,4,4096,14336,0.1488,3156.41,790.09,3.99
llama-8b,ffn_down,8,4096,14336,0.1491,6302.40,789.78,7.98
llama-8b,ffn_down,16,4096,14336,0.1502,12510.28,785.82,15.92
llama-8b,ffn_down,32,4096,14336,0.1540,24403.32,770.26,31.68
llama-70b,qkv,1,10240,8192,0.2056,816.10,816.28,1.00
llama-70b,qkv,2,10240,8192,0.2109,1590.68,795.69,2.00
llama-70b,qkv,4,10240,8192,0.2117,3170.43,793.30,4.00
llama-70b,qkv,8,10240,8192,0.2128,6308.51,789.95,7.99
llama-70b,qkv,16,10240,8192,0.2168,12382.22,776.61,15.94
llama-70b,qkv,32,10240,8192,0.2141,25080.75,789.28,31.78
llama-70b,attn_out,1,8192,8192,0.1671,803.04,803.23,1.00
llama-70b,attn_out,2,8192,8192,0.1680,1598.15,799.46,2.00
llama-70b,attn_out,4,8192,8192,0.1695,3167.71,792.70,4.00
llama-70b,attn_out,8,8192,8192,0.1743,6160.48,771.56,7.98
llama-70b,attn_out,16,8192,8192,0.1763,12180.00,764.22,15.94
llama-70b,attn_out,32,8192,8192,0.1773,24220.73,762.81,31.75
llama-70b,ffn_up,1,28672,8192,0.5610,837.32,837.45,1.00
llama-70b,ffn_up,2,28672,8192,0.5571,1686.37,843.45,2.00
llama-70b,ffn_up,4,28672,8192,0.5590,3361.25,840.84,4.00
llama-70b,ffn_up,8,28672,8192,0.5628,6677.13,835.69,7.99
llama-70b,ffn_up,16,28672,8192,0.5694,13201.02,827.14,15.96
llama-70b,ffn_up,32,28672,8192,0.5794,25945.22,814.86,31.84
llama-70b,ffn_down,1,8192,28672,0.5564,844.23,844.36,1.00
llama-70b,ffn_down,2,8192,28672,0.5557,1690.66,845.60,2.00
llama-70b,ffn_down,4,8192,28672,0.5572,3372.37,843.62,4.00
llama-70b,ffn_down,8,8192,28672,0.5597,6714.02,840.31,7.99
llama-70b,ffn_down,16,8192,28672,0.5651,13300.05,833.34,15.96
llama-70b,ffn_down,32,8192,28672,0.5714,26309.30,826.29,31.84
