op,np,size_bytes,time_us,algbw_GBs,busbw_GBs
all_reduce,2,8,13.24,0.00,0.00
all_reduce,2,16,12.77,0.00,0.00
all_reduce,2,32,13.01,0.00,0.00
all_reduce,2,64,13.07,0.00,0.00
all_reduce,2,128,13.34,0.01,0.01
all_reduce,2,256,13.42,0.02,0.02
all_reduce,2,512,12.89,0.04,0.04
all_reduce,2,1024,13.37,0.08,0.08
all_reduce,2,2048,13.22,0.15,0.15
all_reduce,2,4096,13.11,0.31,0.31
all_reduce,2,8192,13.36,0.61,0.61
all_reduce,2,16384,13.87,1.18,1.18
all_reduce,2,32768,14.12,2.32,2.32
all_reduce,2,65536,17.56,3.73,3.73
all_reduce,2,131072,25.52,5.14,5.14
all_reduce,2,262144,46.20,5.67,5.67
all_reduce,2,524288,59.06,8.88,8.88
all_reduce,2,1048576,84.22,12.45,12.45
all_reduce,2,2097152,135.27,15.50,15.50
all_reduce,2,4194304,250.06,16.77,16.77
all_reduce,2,8388608,468.89,17.89,17.89
all_reduce,2,16777216,912.72,18.38,18.38
all_reduce,2,33554432,1792.47,18.72,18.72
all_reduce,2,67108864,3521.12,19.06,19.06
all_reduce,2,134217728,6882.23,19.50,19.50
all_reduce,3,8,18.62,0.00,0.00
all_reduce,3,16,17.69,0.00,0.00
all_reduce,3,32,17.77,0.00,0.00
all_reduce,3,64,18.50,0.00,0.00
all_reduce,3,128,17.61,0.01,0.01
all_reduce,3,256,17.65,0.01,0.02
all_reduce,3,512,17.68,0.03,0.04
all_reduce,3,1024,17.64,0.06,0.08
all_reduce,3,2048,17.65,0.12,0.15
all_reduce,3,4096,17.90,0.23,0.31
all_reduce,3,8192,17.86,0.46,0.61
all_reduce,3,16384,18.55,0.88,1.18
all_reduce,3,32768,19.79,1.66,2.21
all_reduce,3,65536,25.18,2.60,3.47
all_reduce,3,131072,38.77,3.38,4.51
all_reduce,3,262144,57.49,4.56,6.08
all_reduce,3,524288,77.18,6.79,9.06
all_reduce,3,1048576,117.69,8.91,11.88
all_reduce,3,2097152,160.31,13.08,17.44
all_reduce,3,4194304,301.14,13.93,18.57
all_reduce,3,8388608,576.23,14.56,19.41
all_reduce,3,16777216,1115.27,15.04,20.06
all_reduce,3,33554432,2187.10,15.34,20.46
all_reduce,3,67108864,4316.12,15.55,20.73
all_reduce,3,134217728,8491.80,15.81,21.07
all_reduce,4,8,23.36,0.00,0.00
all_reduce,4,16,23.83,0.00,0.00
all_reduce,4,32,23.29,0.00,0.00
all_reduce,4,64,22.70,0.00,0.00
all_reduce,4,128,23.05,0.01,0.01
all_reduce,4,256,22.99,0.01,0.02
all_reduce,4,512,22.77,0.02,0.03
all_reduce,4,1024,22.70,0.05,0.07
all_reduce,4,2048,23.62,0.09,0.13
all_reduce,4,4096,23.98,0.17,0.26
all_reduce,4,8192,22.90,0.36,0.54
all_reduce,4,16384,24.05,0.68,1.02
all_reduce,4,32768,24.69,1.33,1.99
all_reduce,4,65536,23.92,2.74,4.11
all_reduce,4,131072,35.76,3.67,5.50
all_reduce,4,262144,58.20,4.50,6.76
all_reduce,4,524288,81.60,6.42,9.64
all_reduce,4,1048576,135.47,7.74,11.61
all_reduce,4,2097152,184.54,11.36,17.05
all_reduce,4,4194304,330.75,12.68,19.02
all_reduce,4,8388608,633.46,13.24,19.86
all_reduce,4,16777216,1243.41,13.49,20.24
all_reduce,4,33554432,2446.07,13.72,20.58
all_reduce,4,67108864,4863.28,13.80,20.70
all_reduce,4,134217728,9656.52,13.90,20.85
