op,np,size_bytes,time_us,algbw_GBs,busbw_GBs
sendrecv,2,8,12.68,0.00,0.00
sendrecv,2,16,11.94,0.00,0.00
sendrecv,2,32,11.87,0.00,0.00
sendrecv,2,64,11.89,0.01,0.01
sendrecv,2,128,11.99,0.01,0.01
sendrecv,2,256,12.26,0.02,0.02
sendrecv,2,512,11.80,0.04,0.04
sendrecv,2,1024,11.97,0.09,0.09
sendrecv,2,2048,11.79,0.17,0.17
sendrecv,2,4096,11.89,0.34,0.34
sendrecv,2,8192,11.98,0.68,0.68
sendrecv,2,16384,12.78,1.28,1.28
sendrecv,2,32768,13.98,2.34,2.34
sendrecv,2,65536,16.89,3.88,3.88
sendrecv,2,131072,22.18,5.91,5.91
sendrecv,2,262144,32.36,8.10,8.10
sendrecv,2,524288,52.02,10.08,10.08
sendrecv,2,1048576,85.22,12.30,12.30
sendrecv,2,2097152,155.37,13.50,13.50
sendrecv,2,4194304,296.89,14.13,14.13
sendrecv,2,8388608,573.50,14.63,14.63
sendrecv,2,16777216,1133.53,14.80,14.80
sendrecv,2,33554432,1521.31,22.06,22.06
sendrecv,2,67108864,2998.53,22.38,22.38
sendrecv,2,134217728,5940.78,22.59,22.59
