tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,ar,Llama-3.1-8B,,1,0,0,128,0.0000,0.0000,1,1,20.4365,0.0000,0.0000,0.0000,0.0000,2606.1533,128.0000,128.0000,0.0000,49.1145
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.3000,0.0000,1,1,20.3138,20.4913,3.2325,3.2325,0.0000,2340.4231,128.2000,99.1667,0.0000,54.7764
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.3000,0.8500,1,1,0.0000,20.3288,3.2338,3.2338,3.4959,2076.7412,128.2000,99.1667,0.1422,61.7313
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.3000,0.0000,1,1,20.3301,19.0277,3.2369,6.4738,0.0000,2376.7319,128.3667,94.0000,0.0000,54.0097
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.3000,0.8500,1,1,0.0000,18.8417,3.2346,6.4693,7.0164,1870.5864,128.3667,94.0000,0.1422,68.6238
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.3000,0.0000,1,1,20.3398,19.0860,3.2473,12.9893,0.0000,2918.7527,128.2667,91.7667,0.0000,43.9457
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.3000,0.8500,1,1,0.0000,18.8014,3.2242,12.8967,13.9783,1916.1089,128.2667,91.7667,0.1417,66.9412
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.3000,0.0000,1,1,20.3400,19.1055,3.2487,19.4920,0.0000,3515.6941,128.6333,91.6667,0.0000,36.5883
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.3000,0.8500,1,1,0.0000,18.8717,3.2323,19.3935,21.0698,2227.6289,128.6333,91.6667,0.1418,57.7445
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.3000,0.0000,1,1,20.3180,19.2009,3.2454,25.9632,0.0000,4119.9810,128.6000,91.6333,0.0000,31.2137
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.3000,0.8500,1,1,0.0000,18.9964,3.2320,25.8561,28.0830,2958.5544,128.6000,91.6333,0.1419,43.4672
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.5000,0.0000,1,1,20.3462,20.4193,3.2386,3.2386,0.0000,2021.2878,128.1333,85.7333,0.0000,63.3919
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.5000,0.8500,1,1,0.0000,20.3524,3.2298,3.2298,3.5062,1794.2069,128.1333,85.7333,0.1411,71.4150
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.5000,0.0000,1,1,20.3413,19.0907,3.2457,6.4914,0.0000,1880.0050,128.4667,74.2667,0.0000,68.3331
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.5000,0.8500,1,1,0.0000,18.8486,3.2328,6.4657,7.0085,1478.4659,128.4667,74.2667,0.1391,86.8919
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.5000,0.0000,1,1,20.3321,19.0682,3.2456,12.9822,0.0000,2180.7480,129.1667,68.6000,0.0000,59.2304
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.5000,0.8500,1,1,0.0000,18.7898,3.2245,12.8979,14.0272,1435.1510,129.1667,68.6000,0.1385,90.0021
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.5000,0.0000,1,1,20.3300,19.1596,3.2462,19.4774,0.0000,2569.6907,129.1667,66.8667,0.0000,50.2655
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.5000,0.8500,1,1,0.0000,18.8952,3.2301,19.3804,21.0502,1626.4880,129.1667,66.8667,0.1406,79.4145
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.5000,0.0000,1,1,20.3455,19.2216,3.2469,25.9753,0.0000,2990.7437,128.9667,66.5000,0.0000,43.1219
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.5000,0.8500,1,1,0.0000,18.9705,3.2363,25.8903,28.0964,2154.3643,128.9667,66.5000,0.1409,59.8630
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.7000,0.0000,1,1,20.3487,20.5205,3.2481,3.2481,0.0000,1777.0491,128.5667,75.3333,0.0000,72.3484
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.7000,0.8500,1,1,0.0000,20.3277,3.2342,3.2342,3.5226,1575.8131,128.5667,75.3333,0.1389,81.5875
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.7000,0.0000,1,1,20.3103,19.0571,3.2350,6.4699,0.0000,1480.0789,128.5000,58.5667,0.0000,86.8197
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.7000,0.8500,1,1,0.0000,18.8452,3.2244,6.4487,7.0046,1168.4271,128.5000,58.5667,0.1360,109.9769
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.7000,0.0000,1,1,20.3412,19.0520,3.2435,12.9739,0.0000,1495.1512,129.2333,47.0667,0.0000,86.4350
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.7000,0.8500,1,1,0.0000,18.8004,3.2277,12.9109,14.0188,991.0266,129.2333,47.0667,0.1409,130.4035
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.7000,0.0000,1,1,20.3093,19.1301,3.2354,19.4125,0.0000,1635.2769,129.7667,42.7333,0.0000,79.3546
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.7000,0.8500,1,1,0.0000,18.8878,3.2283,19.3696,21.0129,1047.0524,129.7667,42.7333,0.1365,123.9352
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.7000,0.0000,1,1,20.3352,19.2306,3.2430,25.9439,0.0000,1858.0465,130.1000,41.2333,0.0000,70.0198
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.7000,0.8500,1,1,0.0000,18.9654,3.2324,25.8589,28.1352,1345.2714,130.1000,41.2333,0.1366,96.7091
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.8000,0.0000,1,1,20.3235,20.5456,3.2404,3.2404,0.0000,1674.6410,128.5667,71.0667,0.0000,76.7727
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.8000,0.8500,1,1,0.0000,20.3380,3.2345,3.2345,3.5196,1485.9785,128.5667,71.0667,0.1365,86.5199
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.8000,0.0000,1,1,20.3220,19.0942,3.2449,6.4898,0.0000,1330.8499,128.6667,52.6000,0.0000,96.6801
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.8000,0.8500,1,1,0.0000,18.8483,3.2283,6.4565,6.9911,1050.4187,128.6667,52.6000,0.1394,122.4908
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.8000,0.0000,1,1,20.3355,19.0201,3.2425,12.9700,0.0000,1220.4456,129.5667,38.4000,0.0000,106.1634
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.8000,0.8500,1,1,0.0000,18.8029,3.2275,12.9099,14.0106,809.4088,129.5667,38.4000,0.1363,160.0757
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.8000,0.0000,1,1,20.3322,19.0823,3.2417,19.4503,0.0000,1263.5017,129.8667,32.9333,0.0000,102.7831
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.8000,0.8500,1,1,0.0000,18.9074,3.2326,19.3956,21.0582,811.3957,129.8667,32.9333,0.1356,160.0534
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.8000,0.0000,1,1,20.3309,19.2215,3.2397,25.9172,0.0000,1347.0228,130.3667,30.0000,0.0000,96.7813
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.8000,0.8500,1,1,0.0000,18.9877,3.2366,25.8925,28.0500,988.2114,130.3667,30.0000,0.1356,131.9218
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.9000,0.0000,1,1,20.3332,20.5313,3.2371,3.2371,0.0000,1589.7140,128.5000,67.4667,0.0000,80.8322
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.9000,0.8500,1,1,0.0000,20.3551,3.2287,3.2287,3.5022,1411.9045,128.5000,67.4667,0.1398,91.0118
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.9000,0.0000,1,1,20.3371,19.0984,3.2433,6.4866,0.0000,1198.8619,129.0333,47.3667,0.0000,107.6299
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.9000,0.8500,1,1,0.0000,18.8365,3.2333,6.4667,7.0131,947.4285,129.0333,47.3667,0.1414,136.1932
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.9000,0.0000,1,1,20.3361,18.9639,3.2396,12.9584,0.0000,992.7110,129.5333,31.2667,0.0000,130.4845
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.8500,1,1,0.0000,18.7796,3.2333,12.9333,14.0418,660.3879,129.5333,31.2667,0.1343,196.1474
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.9000,0.0000,1,1,20.3242,19.0901,3.2522,19.5133,0.0000,949.1961,131.2333,24.7333,0.0000,138.2574
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.9000,0.8500,1,1,0.0000,18.9039,3.2273,19.3636,21.0399,613.9152,131.2333,24.7333,0.1321,213.7646
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.9000,0.0000,1,1,20.3212,19.1975,3.2387,25.9100,0.0000,936.8193,130.7333,20.8667,0.0000,139.5502
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.9000,0.8500,1,1,0.0000,18.9716,3.2315,25.8523,28.1193,693.7635,130.7333,20.8667,0.1262,188.4408
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,0.9500,0.0000,1,1,20.3417,20.5109,3.2375,3.2375,0.0000,1555.6028,128.4667,65.9667,0.0000,82.5832
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,0.9500,0.8500,1,1,0.0000,20.3505,3.2286,3.2286,3.5033,1381.2826,128.4667,65.9667,0.1410,93.0053
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,0.9500,0.0000,1,1,20.3358,19.0866,3.2415,6.4831,0.0000,1148.0140,129.0000,45.3667,0.0000,112.3680
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,0.9500,0.8500,1,1,0.0000,18.8309,3.2310,6.4621,7.0182,906.8705,129.0000,45.3667,0.1411,142.2474
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.9500,0.0000,1,1,20.3348,18.9970,3.2443,12.9772,0.0000,916.2311,129.7667,28.8333,0.0000,141.6309
