tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,1,128,0.9000,0.7000,1,1,0.0000,18.7517,3.4440,13.7759,13.7759,718.7852,129.5333,31.2667,0.2783,180.2115
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,2,128,0.9000,0.7000,1,1,0.0000,18.7672,3.2387,12.9550,13.9447,718.6806,129.5333,31.2667,0.2783,180.2377
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,3,128,0.9000,0.7000,1,1,0.0000,18.7432,3.2453,12.9812,13.9880,717.5593,129.5333,31.2667,0.2783,180.5193
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.7000,1,1,0.0000,18.7832,3.2388,12.9552,13.9672,718.1052,129.5333,31.2667,0.2783,180.3821
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,6,128,0.9000,0.7000,1,1,0.0000,18.7486,3.2508,13.0030,14.1144,717.7060,129.5333,31.2667,0.2783,180.4825
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,8,128,0.9000,0.7000,1,1,0.0000,18.7568,3.2401,12.9604,14.1409,718.2086,129.5333,31.2667,0.2783,180.3562
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,12,128,0.9000,0.7000,1,1,0.0000,18.7680,3.2385,12.9540,14.4340,718.9091,129.5333,31.2667,0.2783,180.1804
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,16,128,0.9000,0.7000,1,1,0.0000,18.7522,3.2486,12.9944,14.5759,718.5714,129.5333,31.2667,0.2783,180.2651
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,32,128,0.9000,0.7000,1,1,0.0000,18.7546,3.2412,12.9647,14.8382,718.7051,129.5333,31.2667,0.2783,180.2316
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,64,128,0.9000,0.7000,1,1,0.0000,18.7540,3.2420,12.9681,16.0488,719.4376,129.5333,31.2667,0.2783,180.0480
