tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,ar,Llama-3.2-1B,,1,0,0,128,0.0000,0.0000,1,1,3.3970,0.0000,0.0000,0.0000,0.0000,410.1676,128.0000,128.0000,0.0000,312.0675
RESULT,sd,Llama-3.2-1B,Llama-3.2-1B,1,4,0,128,0.9000,0.0000,1,1,3.2077,3.4798,3.2199,12.8797,0.0000,509.3060,129.5333,31.2667,0.0000,254.3331
RESULT,ssd,Llama-3.2-1B,Llama-3.2-1B,1,4,4,128,0.9000,0.8500,1,1,0.0000,3.4810,3.2152,12.8608,13.8857,514.9199,129.5333,31.2667,0.1343,251.5602
RESULT,ar,Llama-3.1-8B,,1,0,0,128,0.0000,0.0000,1,1,20.2093,0.0000,0.0000,0.0000,0.0000,2585.9937,128.0000,128.0000,0.0000,49.4974
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.9000,0.0000,1,1,20.1840,19.0412,3.2135,12.8541,0.0000,988.2556,129.5333,31.2667,0.0000,131.0727
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.8500,1,1,0.0000,18.7530,3.2146,12.8586,13.8842,659.1341,129.5333,31.2667,0.1343,196.5205
RESULT,ar,Llama-3.1-8B,,2,0,0,128,0.0000,0.0000,1,1,13.1379,0.0000,0.0000,0.0000,0.0000,1683.2893,128.0000,128.0000,0.0000,76.0416
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,2,4,0,128,0.9000,0.0000,1,1,13.1526,11.4243,3.2210,12.8840,0.0000,760.1523,129.5333,31.2667,0.0000,170.4045
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,2,4,4,128,0.9000,0.8500,1,1,0.0000,11.4038,3.2208,12.8831,13.9219,509.9045,129.5333,31.2667,0.1343,254.0345
RESULT,ar,Llama-3.1-8B,,4,0,0,128,0.0000,0.0000,1,1,9.7427,0.0000,0.0000,0.0000,0.0000,1235.2515,128.0000,128.0000,0.0000,103.6226
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,4,4,0,128,0.9000,0.0000,1,1,10.1007,7.4406,3.2198,12.8793,0.0000,640.2062,129.5333,31.2667,0.0000,202.3306
